iv_id,iv_registry,mdr_study_id,identifier,identifier_type,identifier_type_id,identifier_source
NCT00056134,ClinicalTrials.gov,2008939,ERLANGEN-ONTAK,Type not provided,1,No organisation name provided in source data
NCT00056134,ClinicalTrials.gov,2008939,EU-20246,Type not provided,1,No organisation name provided in source data
NCT00056134,ClinicalTrials.gov,2008939,CDR0000270762,NCI PDQ ID,49,National Cancer Institute
NCT00094497,ClinicalTrials.gov,2011611,CO-ACT-001,Sponsor’s ID,14,Collaborative Group for Adrenocortical Carcinoma Treatment
NCT00094497,ClinicalTrials.gov,2011611,NCT00924144,Obsolete NCT number,44,ClinicalTrials.gov
NCT00098137,ClinicalTrials.gov,2011881,AFNET-B10,Sponsor’s ID,14,Atrial Fibrillation Network
NCT00098137,ClinicalTrials.gov,2011881,Grant No 01GI0204,Funder / Contract ID,13,BMBF
NCT00114348,ClinicalTrials.gov,2013062,A2002/6a,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00115518,ClinicalTrials.gov,2013151,NEAR L-284/2004,Sponsor’s ID,14,Universität Heidelberg
NCT00122031,ClinicalTrials.gov,2013638,BSG-04-006,Sponsor’s ID,14,Universitätsklinikum Bonn
NCT00136188,ClinicalTrials.gov,2014706,SFB 423 TP B5,Sponsor’s ID,14,University of Erlangen-Nürnberg Medical School
NCT00150878,ClinicalTrials.gov,2015815,9005-2003,Sponsor’s ID,14,University Hospital Carl Gustav Carus
NCT00151242,ClinicalTrials.gov,2015843,AMLSG07-04,Sponsor’s ID,14,Universität Ulm
NCT00151255,ClinicalTrials.gov,2015844,AMLSG06-04,Sponsor’s ID,14,Universität Ulm
NCT00163267,ClinicalTrials.gov,2016749,mi-1,Sponsor’s ID,14,University Hospital Tuebingen
NCT00163267,ClinicalTrials.gov,2016749,D.3100340,Type not provided,1,No organisation name provided in source data
NCT00170326,ClinicalTrials.gov,2017280,PreVent-HF,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00170625,ClinicalTrials.gov,2017302,310300,Sponsor’s ID,14,North Eastern German Society of Gynaecological Oncology
NCT00180089,ClinicalTrials.gov,2018018,PROGAST,Sponsor’s ID,14,Technische Universität Dresden
NCT00180102,ClinicalTrials.gov,2018019,MK1-95,Sponsor’s ID,14,Technische Universität Dresden
NCT00185159,ClinicalTrials.gov,2018389,SE-866/44,Sponsor’s ID,14,Daiichi Sankyo
NCT00199082,ClinicalTrials.gov,2019431,GMALL05,Sponsor’s ID,14,Goethe-Universität Frankfurt am Main
NCT00202917,ClinicalTrials.gov,2019717,E203/2004,Sponsor’s ID,14,University Hospital Tuebingen
NCT00202917,ClinicalTrials.gov,2019717,HSZ-001,Type not provided,1,No organisation name provided in source data
NCT00202917,ClinicalTrials.gov,2019717,IRB Project Nr. 21/2004,Type not provided,1,No organisation name provided in source data
NCT00222222,ClinicalTrials.gov,2021170,Nr.0244.4_1,Sponsor’s ID,14,Universitätsmedizin Mannheim
NCT00222222,ClinicalTrials.gov,2021170,0244.4,Type not provided,1,No organisation name provided in source data
NCT00232830,ClinicalTrials.gov,2021955,EC03-03,Sponsor’s ID,14,Cordis Corporation
NCT00256152,ClinicalTrials.gov,2023702,CRD291,Sponsor’s ID,14,Abbott Laboratories
NCT00262119,ClinicalTrials.gov,2024152,MNV-20-171005,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00263419,ClinicalTrials.gov,2024248,HD-Med1-01/05,Sponsor’s ID,14,Universität Heidelberg
NCT00282646,ClinicalTrials.gov,2025682,2005-000968-33,Trial registry ID,11,EU Clinical Trials Register
NCT00282646,ClinicalTrials.gov,2025682,1122334455,Sponsor’s ID,14,"Medizinische Klinik III, Kardiologie, Universität Frankfurt"
NCT00282646,ClinicalTrials.gov,2025682,PROVASA,Type not provided,1,No organisation name provided in source data
NCT00284713,ClinicalTrials.gov,2025837,TOPCARE-DCM,Sponsor’s ID,14,Johann Wolfgang Goethe University Hospital
