nct_id,start_date,study_first_submitted_date,study_first_submitted_qc_date,has_prospective_registration,nlm_download_date_description,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_date_type,verification_date,completion_date_type,completion_date,primary_completion_date_type,primary_completion_date,updated_at,start_month_year,verification_month_year,completion_month_year,primary_completion_month_year,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry,were_results_reported,days_compl_to_summary,days_reg_to_start,summary_result_12_month,summary_result_24_month
NCT01456702,2014-10-31,2011-09-29,2011-10-20,TRUE,NA,NA,NA,2013-12-30,2011-10-21,ESTIMATED,NA,NA,NA,NA,NA,NA,2013-12-30,2013-12-31,ESTIMATED,NA,2013-12-31,ESTIMATED,2016-03-31,ESTIMATED,2015-12-31,2024-09-25T17:20:56Z,2014-10,2013-12,2016-03,2015-12,NA,INTERVENTIONAL,NA,NA,Risk Stratification and Goal-directed Volume Therapy,Influence of Pre-operative Risk Stratefiction and Intraoperaitve Monitoring on Perioperative Volume Therapy and Postoperative Outcome,UNKNOWN,NOT_YET_RECRUITING,NA,300,ESTIMATED,"Charite University, Berlin, Germany",NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T17:20:56Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,1128,FALSE,FALSE
NCT01782365,2013-08-08,2013-01-31,2013-01-31,TRUE,NA,NA,NA,2021-05-12,2013-02-01,ESTIMATED,NA,NA,NA,NA,NA,NA,2021-05-12,2021-05-14,ACTUAL,ACTUAL,2021-05-31,ACTUAL,2016-08-30,ACTUAL,2016-04-26,2024-09-25T06:49:46Z,2013-08-08,2021-05,2016-08-30,2016-04-26,NA,INTERVENTIONAL,NA,NA,Effects of Brain Stimulation During a Daytime Nap on Memory Consolidation in Patients With Mild Cognitive Impairment,Impact of Transcranial Slow Oscillating Stimulation on Memory Consolidation During Slow Wave Sleep of a Daytime Nap in Patients With Mild Cognitive Impairment(MCI),COMPLETED,NA,NA,16,ACTUAL,"Charite University, Berlin, Germany",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T06:49:46Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,189,FALSE,FALSE
NCT01924338,2013-09-30,2013-08-12,2013-08-15,TRUE,NA,NA,NA,2014-08-20,2013-08-16,ESTIMATED,NA,NA,NA,NA,NA,NA,2014-08-20,2014-08-21,ESTIMATED,NA,2014-08-31,ESTIMATED,2015-02-28,ESTIMATED,2014-12-31,2024-09-26T16:01:24Z,2013-09,2014-08,2015-02,2014-12,NA,INTERVENTIONAL,NA,NA,Validation of a Method to Measure Soft Tissue Thickness Using Near Infrared Laser Light,Validierung Der Bestimmung Der Gewebedicke Mit Hilfe Von Licht im Infrarotbereich,UNKNOWN,RECRUITING,NA,25,ESTIMATED,University of Luebeck,NA,4,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-26T16:01:24Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,49,FALSE,FALSE
NCT01630434,2011-11-30,2012-06-25,2012-06-26,FALSE,NA,2022-04-06,2015-11-02,2023-03-31,2012-06-28,ESTIMATED,2022-06-10,2022-07-07,ACTUAL,2016-05-19,2016-06-17,ESTIMATED,2023-03-31,2023-04-04,ACTUAL,NA,2016-05-31,ACTUAL,2016-04-30,ACTUAL,2014-09-30,2024-09-25T06:49:46Z,2011-11,2016-05,2016-04,2014-09,NA,INTERVENTIONAL,INSPIRE,Intent-to-treat Population,International Randomized Study of the TransMedics Organ Care System (OCS Lung) for Lung Preservation and Transplantation,"Prospective, International, Multi-Center, Randomized Clinical Investigation of TransMedics Organ Care System (OCS LUNG) for Lung Preservation and Transplantation",COMPLETED,NA,NA,320,ACTUAL,TransMedics,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T06:49:46Z,INDUSTRY,NA,NA,NA,NA,NA,NA,TRUE,2167,-208,FALSE,FALSE
NCT00263419,2005-01-31,2005-12-07,2005-12-07,FALSE,NA,NA,NA,2011-10-26,2005-12-08,ESTIMATED,NA,NA,NA,NA,NA,NA,2011-10-26,2011-10-27,ESTIMATED,NA,2011-10-31,ESTIMATED,2012-06-30,ESTIMATED,2012-03-31,2024-09-26T03:53:11Z,2005-01,2011-10,2012-06,2012-03,NA,INTERVENTIONAL,HEIDIS,NA,Stress-relief Management for Treatment of Late Complications in Type 2 Diabetes,Psychosoziale Intervention Zur Reduktion Diabetischer Spätschäden Bei Diabetes Mellitus Typ 2,UNKNOWN,ACTIVE_NOT_RECRUITING,NA,110,ACTUAL,Heidelberg University,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-26T03:53:11Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-310,FALSE,FALSE
NCT00890253,2010-01-31,2009-04-28,2009-04-28,TRUE,NA,NA,NA,2011-09-14,2009-04-29,ESTIMATED,NA,NA,NA,NA,NA,NA,2011-09-14,2011-09-15,ESTIMATED,NA,2010-01-31,ESTIMATED,2013-01-31,ESTIMATED,2012-01-31,2024-09-25T06:49:46Z,2010-01,2010-01,2013-01,2012-01,NA,INTERVENTIONAL,CILT,NA,Safety Study of Calcineurin-Inhibitor-Free Immunosuppression After Liver Transplantation,A Therapeutic Exploratory Study to Determine the Efficacy and Safety of Calcineurin-Inhibitor-Free De-novo Immunosuppression After Liver Transplantation,UNKNOWN,RECRUITING,PHASE2,29,ESTIMATED,University Medical Center Goettingen,NA,1,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T06:49:46Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,278,FALSE,FALSE
NCT00647049,2007-01-31,2008-03-26,2008-03-28,FALSE,NA,NA,NA,2009-11-16,2008-03-31,ESTIMATED,NA,NA,NA,NA,NA,NA,2009-11-16,2009-11-17,ESTIMATED,NA,2009-11-30,ESTIMATED,2013-08-31,ESTIMATED,2013-05-31,2024-09-25T17:20:56Z,2007-01,2009-11,2013-08,2013-05,NA,INTERVENTIONAL,NA,NA,Freiburg ZNS-NHL Study,Freiburg ZNS-NHL Study: Therapy for Patients With Primary Non-Hodgkin Lymphoma of the CNS - Sequential High Dosage Chemotherapy With Autologous Peripheral Blood Stem Cell Plantation,UNKNOWN,RECRUITING,PHASE2,78,ESTIMATED,University Hospital Freiburg,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T17:20:56Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-420,FALSE,FALSE
NCT00615264,2005-09-30,2008-02-04,2008-02-13,FALSE,NA,2015-11-16,NA,2016-05-25,2008-02-14,ESTIMATED,2016-05-25,2016-06-06,ESTIMATED,NA,NA,NA,2016-05-25,2016-06-06,ESTIMATED,NA,2016-05-31,ACTUAL,2012-01-31,ACTUAL,2011-09-30,2024-09-27T02:09:04Z,2005-09,2016-05,2012-01,2011-09,NA,INTERVENTIONAL,DIA-AID,NA,Efficacy Study of DiaPep277 in Newly Diagnosed Type 1 Diabetes Patients,"A Phase 3, Multinational, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study To Investigate The Clinical Efficacy And Safety of DiaPep277® in Newly Diagnosed Type 1 Diabetes Patients",COMPLETED,NA,PHASE3,457,ACTUAL,Andromeda Biotech Ltd.,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:09:04Z,INDUSTRY,NA,NA,NA,NA,NA,NA,TRUE,1385,-857,FALSE,FALSE
NCT00998907,2009-09-30,2009-10-20,2009-10-20,FALSE,NA,NA,NA,2012-01-17,2009-10-21,ESTIMATED,NA,NA,NA,NA,NA,NA,2012-01-17,2012-01-18,ESTIMATED,NA,2012-01-31,ACTUAL,2012-01-31,ACTUAL,2011-11-30,2024-09-27T02:09:04Z,2009-09,2012-01,2012-01,2011-11,NA,INTERVENTIONAL,PDS*plus,NA,PDS*Plus and Wound Infections After Laparotomy,Pathway Driven Study to Evaluate the Incidence of Wound Infections and Incisional Hernias After Laparotomy and Fascial Closure With PDS*Plus Sutures,COMPLETED,NA,NA,1042,ACTUAL,"University Hospital, Saarland",NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:09:04Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-20,FALSE,FALSE
NCT01153139,2010-04-30,2010-04-23,2010-06-28,TRUE,NA,NA,NA,2013-07-13,2010-06-29,ESTIMATED,NA,NA,NA,NA,NA,NA,2013-07-13,2013-07-16,ESTIMATED,NA,2013-07-31,ACTUAL,2013-07-31,ACTUAL,2012-12-31,2024-09-27T02:09:04Z,2010-04,2013-07,2013-07,2012-12,NA,INTERVENTIONAL,TheBuS_D,NA,Long-term Bilateral Theta Burst Stimulation for the Treatment of Major Depression,NA,COMPLETED,NA,PHASE2/PHASE3,32,ACTUAL,University Hospital Tuebingen,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:09:04Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,7,FALSE,FALSE
