id,registration_date,start_date,has_prospective_registration
DRKS00003240,2011-10-14,2012-03-16,TRUE
DRKS00000005,2008-08-08,2007-01-01,FALSE
DRKS00000041,2008-11-26,2008-09-14,FALSE
DRKS00000053,2008-11-14,2008-08-20,FALSE
DRKS00000058,2008-12-19,2010-01-26,TRUE
DRKS00000060,2009-08-07,2009-07-20,FALSE
DRKS00000077,2009-04-14,2008-07-04,FALSE
DRKS00000081,2009-02-13,2007-04-05,FALSE
DRKS00000086,2009-02-19,2009-07-05,TRUE
DRKS00000093,2009-03-25,2008-08-14,FALSE
DRKS00000096,2009-03-04,2009-03-06,TRUE
DRKS00000104,2009-03-26,2008-10-01,FALSE
DRKS00000125,2009-06-02,2009-06-05,TRUE
DRKS00000138,2009-05-25,2009-05-25,TRUE
DRKS00000145,2009-10-12,2009-08-05,FALSE
DRKS00000150,2009-06-19,2007-01-24,FALSE
DRKS00000157,2009-08-19,2009-04-21,FALSE
DRKS00000184,2009-08-19,2006-05-29,FALSE
DRKS00000195,2009-10-21,2010-01-27,TRUE
DRKS00000245,2009-12-08,2006-01-27,FALSE
DRKS00000337,2010-03-02,2009-11-02,FALSE
DRKS00000341,2010-02-24,2010-02-19,TRUE
DRKS00000449,2010-10-05,2009-12-11,FALSE
DRKS00000450,2010-10-05,2010-02-16,FALSE
DRKS00000472,2010-08-02,2010-08-30,TRUE
DRKS00000481,2010-07-13,2010-06-14,FALSE
DRKS00000486,2011-08-26,2010-08-30,FALSE
DRKS00000550,2010-11-25,2011-02-01,TRUE
DRKS00000573,2010-10-12,2010-10-07,TRUE
DRKS00000575,2010-10-07,2008-07-16,FALSE
DRKS00000639,2011-01-17,2010-09-09,FALSE
DRKS00000644,2013-06-24,2009-03-23,FALSE
DRKS00000651,2011-03-08,2010-08-20,FALSE
DRKS00000653,2011-01-20,2011-05-15,TRUE
DRKS00000662,2011-01-24,2009-09-01,FALSE
DRKS00000666,2011-01-04,2011-01-06,TRUE
DRKS00000671,2011-03-02,2011-01-18,FALSE
DRKS00000691,2011-02-02,2011-02-06,TRUE
DRKS00000710,2011-02-01,2008-12-01,FALSE
DRKS00000715,2011-02-07,2011-03-09,TRUE
DRKS00000723,2011-02-22,2002-12-01,FALSE
DRKS00000747,2011-03-04,2011-03-04,TRUE
DRKS00000755,2011-04-11,2011-04-28,TRUE
DRKS00000767,2011-03-23,2011-06-01,TRUE
DRKS00000769,2011-03-25,2011-04-01,TRUE
DRKS00000788,2011-04-05,2009-09-16,FALSE
DRKS00001901,2011-11-16,2008-03-02,FALSE
DRKS00003085,2011-09-02,2011-09-01,TRUE
DRKS00003111,2011-07-18,2010-10-28,FALSE
DRKS00003121,2011-06-30,2011-07-01,TRUE
DRKS00003170,2011-07-20,2011-08-12,TRUE
DRKS00003172,2011-07-01,2010-04-11,FALSE
DRKS00003174,2012-03-19,2011-04-04,FALSE
DRKS00003332,2011-12-15,2008-01-01,FALSE
DRKS00003488,2012-01-20,2009-11-11,FALSE
DRKS00003545,2012-03-15,2010-05-31,FALSE
DRKS00003567,2012-02-27,2007-02-01,FALSE
DRKS00003577,2012-02-27,2005-06-12,FALSE
DRKS00003582,2012-03-05,2012-04-10,TRUE
DRKS00003594,2012-03-15,2012-03-20,TRUE
DRKS00003609,2012-07-17,2012-07-17,TRUE
DRKS00003635,2012-04-04,2012-04-15,TRUE
DRKS00003728,2012-08-21,2010-09-17,FALSE
DRKS00003856,2012-05-04,2008-08-01,FALSE
DRKS00003894,2012-08-20,2008-05-27,FALSE
DRKS00003934,2012-05-11,2008-01-14,FALSE
DRKS00004309,2012-08-16,2012-08-20,TRUE
DRKS00004454,2012-10-09,2010-01-07,FALSE
DRKS00004524,2013-03-12,2009-09-15,FALSE
DRKS00004558,2013-01-09,2012-12-11,FALSE
DRKS00004595,2012-12-14,2010-07-12,FALSE
DRKS00005118,2013-06-28,2012-01-02,FALSE
DRKS00005353,2013-11-18,2008-11-10,FALSE
DRKS00000101,2009-03-17,2007-03-08,FALSE
DRKS00000214,2009-10-27,2009-11-15,TRUE
DRKS00000371,2010-04-08,2010-08-17,TRUE
DRKS00000390,2010-04-27,2010-04-07,TRUE
DRKS00000467,2010-06-30,2010-07-19,TRUE
DRKS00000492,2010-07-22,2007-08-30,FALSE
DRKS00000494,2010-08-25,2010-09-20,TRUE
DRKS00000520,2010-10-05,2008-02-10,FALSE
DRKS00000534,2010-09-29,2010-11-04,TRUE
DRKS00000751,2011-04-06,2009-01-05,FALSE
DRKS00000752,2011-03-30,2009-01-01,FALSE
DRKS00000760,2011-04-13,2008-10-12,FALSE
DRKS00000792,2011-04-06,2009-07-16,FALSE
DRKS00003308,2011-11-07,2011-11-10,TRUE
DRKS00003980,2012-07-10,2012-07-23,TRUE
DRKS00004327,2012-08-31,2012-06-09,FALSE
DRKS00004685,2013-02-01,2012-02-23,FALSE
DRKS00004846,2013-03-26,2009-01-12,FALSE
DRKS00005050,2013-07-24,2009-10-05,FALSE
DRKS00005132,2013-07-08,2009-03-25,FALSE
DRKS00005181,2013-08-22,2011-08-01,FALSE
DRKS00005295,2013-12-12,2011-10-01,FALSE
DRKS00000003,2008-08-08,2008-06-02,FALSE
DRKS00000043,2008-11-06,2008-08-21,FALSE
DRKS00000068,2009-08-18,2008-10-01,FALSE
DRKS00000148,2009-09-14,2009-09-15,TRUE
DRKS00000165,2011-08-05,2009-08-01,FALSE
DRKS00000177,2009-08-28,2009-08-26,TRUE
DRKS00000296,2010-01-05,2010-01-12,TRUE
DRKS00000297,2010-01-11,2005-01-15,FALSE
DRKS00000311,2010-01-13,2005-04-22,FALSE
DRKS00000315,2010-06-22,2010-07-01,TRUE
DRKS00000328,2010-02-17,2010-01-27,FALSE
DRKS00000345,2010-03-08,2010-02-24,FALSE
DRKS00000356,2010-03-03,2010-03-08,TRUE
DRKS00000373,2010-06-28,2009-10-22,FALSE
DRKS00000393,2010-04-22,2004-10-05,FALSE
DRKS00000396,2010-09-03,2010-05-18,FALSE
DRKS00000397,2010-04-21,2007-11-16,FALSE
DRKS00000398,2010-04-16,2010-10-03,TRUE
DRKS00000419,2010-06-07,2006-03-31,FALSE
DRKS00000423,2010-06-07,2010-10-04,TRUE
DRKS00000432,2011-04-01,2011-02-14,FALSE
DRKS00000454,2011-04-01,2010-02-19,FALSE
DRKS00000460,2010-08-13,2010-04-20,FALSE
DRKS00000539,2010-10-07,2010-01-27,FALSE
DRKS00000555,2010-12-22,2011-05-01,TRUE
DRKS00000579,2010-10-15,2002-09-30,FALSE
DRKS00000657,2010-12-23,2010-07-12,FALSE
DRKS00000688,2011-02-23,2010-09-08,FALSE
DRKS00000696,2011-01-19,2010-06-01,FALSE
DRKS00000711,2011-02-17,2011-03-01,TRUE
DRKS00000713,2011-02-24,2011-01-05,FALSE
DRKS00000738,2011-09-28,2011-03-01,FALSE
DRKS00000815,2011-04-15,2011-04-18,TRUE
DRKS00001900,2011-11-16,2008-06-01,FALSE
DRKS00003086,2011-05-18,2005-11-01,FALSE
DRKS00003097,2011-05-26,2011-05-15,TRUE
DRKS00003167,2011-07-04,2009-07-09,FALSE
DRKS00003241,2011-08-30,2011-11-04,TRUE
DRKS00003269,2011-10-04,2007-01-15,FALSE
DRKS00003270,2011-09-29,2010-01-10,FALSE
DRKS00003286,2012-03-21,2011-12-01,FALSE
DRKS00003322,2012-07-03,2012-08-01,TRUE
DRKS00003352,2011-11-30,2011-12-04,TRUE
DRKS00003365,2011-12-15,2011-12-15,TRUE
DRKS00003512,2012-01-25,2011-04-13,FALSE
DRKS00003560,2012-03-29,2012-03-20,TRUE
DRKS00003690,2012-04-02,2007-10-24,FALSE
DRKS00003961,2012-05-25,2010-04-19,FALSE
DRKS00004164,2012-05-25,2010-01-20,FALSE
DRKS00004174,2012-06-04,2012-06-10,TRUE
DRKS00004210,2012-06-27,2012-06-28,TRUE
