id,registry,registration_date,start_date,has_prospective_registration
DRKS00003240,DRKS,2011-10-14,2012-03-16,TRUE
DRKS00000005,DRKS,2008-08-08,2007-01-01,FALSE
DRKS00000041,DRKS,2008-11-26,2008-09-14,FALSE
DRKS00000053,DRKS,2008-11-14,2008-08-20,FALSE
DRKS00000058,DRKS,2008-12-19,2010-01-26,TRUE
DRKS00000060,DRKS,2009-08-07,2009-07-20,FALSE
DRKS00000077,DRKS,2009-04-14,2008-07-04,FALSE
DRKS00000081,DRKS,2009-02-13,2007-04-05,FALSE
DRKS00000086,DRKS,2009-02-19,2009-07-05,TRUE
DRKS00000093,DRKS,2009-03-25,2008-08-14,FALSE
DRKS00000096,DRKS,2009-03-04,2009-03-06,TRUE
DRKS00000104,DRKS,2009-03-26,2008-10-01,FALSE
DRKS00000125,DRKS,2009-06-02,2009-06-05,TRUE
DRKS00000138,DRKS,2009-05-25,2009-05-25,TRUE
DRKS00000145,DRKS,2009-10-12,2009-08-05,FALSE
DRKS00000150,DRKS,2009-06-19,2007-01-24,FALSE
DRKS00000157,DRKS,2009-08-19,2009-04-21,FALSE
DRKS00000184,DRKS,2009-08-19,2006-05-29,FALSE
DRKS00000195,DRKS,2009-10-21,2010-01-27,TRUE
DRKS00000245,DRKS,2009-12-08,2006-01-27,FALSE
DRKS00000337,DRKS,2010-03-02,2009-11-02,FALSE
DRKS00000341,DRKS,2010-02-24,2010-02-19,TRUE
DRKS00000449,DRKS,2010-10-05,2009-12-11,FALSE
DRKS00000450,DRKS,2010-10-05,2010-02-16,FALSE
DRKS00000472,DRKS,2010-08-02,2010-08-30,TRUE
DRKS00000481,DRKS,2010-07-13,2010-06-14,FALSE
DRKS00000486,DRKS,2011-08-26,2010-08-30,FALSE
DRKS00000550,DRKS,2010-11-25,2011-02-01,TRUE
DRKS00000573,DRKS,2010-10-12,2010-10-07,TRUE
DRKS00000575,DRKS,2010-10-07,2008-07-16,FALSE
DRKS00000639,DRKS,2011-01-17,2010-09-09,FALSE
DRKS00000644,DRKS,2013-06-24,2009-03-23,FALSE
DRKS00000651,DRKS,2011-03-08,2010-08-20,FALSE
DRKS00000653,DRKS,2011-01-20,2011-05-15,TRUE
DRKS00000662,DRKS,2011-01-24,2009-09-01,FALSE
DRKS00000666,DRKS,2011-01-04,2011-01-06,TRUE
DRKS00000671,DRKS,2011-03-02,2011-01-18,FALSE
DRKS00000691,DRKS,2011-02-02,2011-02-06,TRUE
DRKS00000710,DRKS,2011-02-01,2008-12-01,FALSE
DRKS00000715,DRKS,2011-02-07,2011-03-09,TRUE
DRKS00000723,DRKS,2011-02-22,2002-12-01,FALSE
DRKS00000747,DRKS,2011-03-04,2011-03-04,TRUE
DRKS00000755,DRKS,2011-04-11,2011-04-28,TRUE
DRKS00000767,DRKS,2011-03-23,2011-06-01,TRUE
DRKS00000769,DRKS,2011-03-25,2011-04-01,TRUE
DRKS00000788,DRKS,2011-04-05,2009-09-16,FALSE
DRKS00001901,DRKS,2011-11-16,2008-03-02,FALSE
DRKS00003085,DRKS,2011-09-02,2011-09-01,TRUE
DRKS00003111,DRKS,2011-07-18,2010-10-28,FALSE
DRKS00003121,DRKS,2011-06-30,2011-07-01,TRUE
DRKS00003170,DRKS,2011-07-20,2011-08-12,TRUE
DRKS00003172,DRKS,2011-07-01,2010-04-11,FALSE
DRKS00003174,DRKS,2012-03-19,2011-04-04,FALSE
DRKS00003332,DRKS,2011-12-15,2008-01-01,FALSE
DRKS00003488,DRKS,2012-01-20,2009-11-11,FALSE
DRKS00003545,DRKS,2012-03-15,2010-05-31,FALSE
DRKS00003567,DRKS,2012-02-27,2007-02-01,FALSE
DRKS00003577,DRKS,2012-02-27,2005-06-12,FALSE
DRKS00003582,DRKS,2012-03-05,2012-04-10,TRUE
DRKS00003594,DRKS,2012-03-15,2012-03-20,TRUE
DRKS00003609,DRKS,2012-07-17,2012-07-17,TRUE
DRKS00003635,DRKS,2012-04-04,2012-04-15,TRUE
DRKS00003728,DRKS,2012-08-21,2010-09-17,FALSE
DRKS00003856,DRKS,2012-05-04,2008-08-01,FALSE
DRKS00003894,DRKS,2012-08-20,2008-05-27,FALSE
DRKS00003934,DRKS,2012-05-11,2008-01-14,FALSE
DRKS00004309,DRKS,2012-08-16,2012-08-20,TRUE
DRKS00004454,DRKS,2012-10-09,2010-01-07,FALSE
DRKS00004524,DRKS,2013-03-12,2009-09-15,FALSE
DRKS00004558,DRKS,2013-01-09,2012-12-11,FALSE
DRKS00004595,DRKS,2012-12-14,2010-07-12,FALSE
DRKS00005118,DRKS,2013-06-28,2012-01-02,FALSE
DRKS00005353,DRKS,2013-11-18,2008-11-10,FALSE
DRKS00000101,DRKS,2009-03-17,2007-03-08,FALSE
DRKS00000214,DRKS,2009-10-27,2009-11-15,TRUE
DRKS00000371,DRKS,2010-04-08,2010-08-17,TRUE
DRKS00000390,DRKS,2010-04-27,2010-04-07,TRUE
DRKS00000467,DRKS,2010-06-30,2010-07-19,TRUE
DRKS00000492,DRKS,2010-07-22,2007-08-30,FALSE
DRKS00000494,DRKS,2010-08-25,2010-09-20,TRUE
DRKS00000520,DRKS,2010-10-05,2008-02-10,FALSE
DRKS00000534,DRKS,2010-09-29,2010-11-04,TRUE
DRKS00000751,DRKS,2011-04-06,2009-01-05,FALSE
DRKS00000752,DRKS,2011-03-30,2009-01-01,FALSE
DRKS00000760,DRKS,2011-04-13,2008-10-12,FALSE
DRKS00000792,DRKS,2011-04-06,2009-07-16,FALSE
DRKS00003308,DRKS,2011-11-07,2011-11-10,TRUE
DRKS00003980,DRKS,2012-07-10,2012-07-23,TRUE
DRKS00004327,DRKS,2012-08-31,2012-06-09,FALSE
DRKS00004685,DRKS,2013-02-01,2012-02-23,FALSE
DRKS00004846,DRKS,2013-03-26,2009-01-12,FALSE
DRKS00005050,DRKS,2013-07-24,2009-10-05,FALSE
DRKS00005132,DRKS,2013-07-08,2009-03-25,FALSE
DRKS00005181,DRKS,2013-08-22,2011-08-01,FALSE
DRKS00005295,DRKS,2013-12-12,2011-10-01,FALSE
DRKS00000003,DRKS,2008-08-08,2008-06-02,FALSE
DRKS00000043,DRKS,2008-11-06,2008-08-21,FALSE
DRKS00000068,DRKS,2009-08-18,2008-10-01,FALSE
DRKS00000148,DRKS,2009-09-14,2009-09-15,TRUE
DRKS00000165,DRKS,2011-08-05,2009-08-01,FALSE
DRKS00000177,DRKS,2009-08-28,2009-08-26,TRUE
DRKS00000296,DRKS,2010-01-05,2010-01-12,TRUE
DRKS00000297,DRKS,2010-01-11,2005-01-15,FALSE
DRKS00000311,DRKS,2010-01-13,2005-04-22,FALSE
DRKS00000315,DRKS,2010-06-22,2010-07-01,TRUE
DRKS00000328,DRKS,2010-02-17,2010-01-27,FALSE
DRKS00000345,DRKS,2010-03-08,2010-02-24,FALSE
DRKS00000356,DRKS,2010-03-03,2010-03-08,TRUE
DRKS00000373,DRKS,2010-06-28,2009-10-22,FALSE
DRKS00000393,DRKS,2010-04-22,2004-10-05,FALSE
DRKS00000396,DRKS,2010-09-03,2010-05-18,FALSE
DRKS00000397,DRKS,2010-04-21,2007-11-16,FALSE
DRKS00000398,DRKS,2010-04-16,2010-10-03,TRUE
DRKS00000419,DRKS,2010-06-07,2006-03-31,FALSE
DRKS00000423,DRKS,2010-06-07,2010-10-04,TRUE
DRKS00000432,DRKS,2011-04-01,2011-02-14,FALSE
DRKS00000454,DRKS,2011-04-01,2010-02-19,FALSE
DRKS00000460,DRKS,2010-08-13,2010-04-20,FALSE
DRKS00000539,DRKS,2010-10-07,2010-01-27,FALSE
DRKS00000555,DRKS,2010-12-22,2011-05-01,TRUE
DRKS00000579,DRKS,2010-10-15,2002-09-30,FALSE
DRKS00000657,DRKS,2010-12-23,2010-07-12,FALSE
DRKS00000688,DRKS,2011-02-23,2010-09-08,FALSE
DRKS00000696,DRKS,2011-01-19,2010-06-01,FALSE
DRKS00000711,DRKS,2011-02-17,2011-03-01,TRUE
DRKS00000713,DRKS,2011-02-24,2011-01-05,FALSE
DRKS00000738,DRKS,2011-09-28,2011-03-01,FALSE
DRKS00000815,DRKS,2011-04-15,2011-04-18,TRUE
DRKS00001900,DRKS,2011-11-16,2008-06-01,FALSE
DRKS00003086,DRKS,2011-05-18,2005-11-01,FALSE
DRKS00003097,DRKS,2011-05-26,2011-05-15,TRUE
DRKS00003167,DRKS,2011-07-04,2009-07-09,FALSE
DRKS00003241,DRKS,2011-08-30,2011-11-04,TRUE
DRKS00003269,DRKS,2011-10-04,2007-01-15,FALSE
DRKS00003270,DRKS,2011-09-29,2010-01-10,FALSE
DRKS00003286,DRKS,2012-03-21,2011-12-01,FALSE
DRKS00003322,DRKS,2012-07-03,2012-08-01,TRUE
DRKS00003352,DRKS,2011-11-30,2011-12-04,TRUE
DRKS00003365,DRKS,2011-12-15,2011-12-15,TRUE
DRKS00003512,DRKS,2012-01-25,2011-04-13,FALSE
DRKS00003560,DRKS,2012-03-29,2012-03-20,TRUE
DRKS00003690,DRKS,2012-04-02,2007-10-24,FALSE
DRKS00003961,DRKS,2012-05-25,2010-04-19,FALSE
DRKS00004164,DRKS,2012-05-25,2010-01-20,FALSE
DRKS00004174,DRKS,2012-06-04,2012-06-10,TRUE
DRKS00004210,DRKS,2012-06-27,2012-06-28,TRUE
DRKS00004223,DRKS,2012-06-28,2012-05-28,FALSE
DRKS00004227,DRKS,2012-07-04,2011-05-17,FALSE
DRKS00004239,DRKS,2012-07-25,2012-02-13,FALSE
DRKS00004257,DRKS,2012-07-20,2011-07-01,FALSE
DRKS00004275,DRKS,2012-08-09,2012-07-24,FALSE
DRKS00004312,DRKS,2012-10-29,2012-10-29,TRUE
DRKS00004335,DRKS,2012-10-12,2010-09-14,FALSE
DRKS00004350,DRKS,2012-08-29,2012-09-24,TRUE
DRKS00004541,DRKS,2012-11-19,2006-10-20,FALSE
DRKS00004721,DRKS,2013-02-11,2012-02-01,FALSE
DRKS00004726,DRKS,2013-02-26,2011-08-22,FALSE
DRKS00004826,DRKS,2013-03-19,2006-04-03,FALSE
DRKS00005054,DRKS,2013-06-19,2010-10-04,FALSE
DRKS00005115,DRKS,2013-07-24,2013-08-01,TRUE
DRKS00005475,DRKS,2013-11-27,2013-03-27,FALSE
DRKS00005596,DRKS,2013-12-13,2009-06-18,FALSE
DRKS00005602,DRKS,2013-12-18,2008-07-01,FALSE
DRKS00000014,DRKS,2008-09-05,2008-04-22,FALSE
DRKS00000056,DRKS,2008-12-08,2009-03-06,TRUE
DRKS00000113,DRKS,2009-04-01,2009-03-31,FALSE
DRKS00000142,DRKS,2009-06-18,2009-06-23,TRUE
DRKS00000280,DRKS,2010-01-04,2010-04-19,TRUE
